timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
1163264,19.67576639254888,V3,26,1.0,0,,0.07807075878465422,289.09326171875
1167360,19.74375304778417,V3,28,1.0,0,,0.07452473286529512,288.6992492675781
1171456,19.812647811571757,V3,32,1.0,0,,0.07280888475610464,288.4728698730469
1175552,19.877973508834838,V3,34,1.0,0,,0.07343094697310078,288.7362365722656
1179648,19.945142634709676,V3,36,1.0,0,,0.07683022201400967,288.656005859375
1183744,20.01269141038259,V3,40,1.0,0,,0.07749929429994293,288.6194152832031
1187840,20.07758586804072,V3,42,1.0,0,,0.07682337649751236,288.73162841796875
1191936,20.142329808076223,V3,44,1.0,0,,0.07941494865390686,288.6266784667969
1196032,20.20708841085434,V3,46,1.0,0,,0.08249934303295228,288.133056640625
1200128,20.274853213628134,V3,50,1.0,0,,0.08283712894994967,287.4639587402344
1204224,20.338828579584757,V3,52,1.0,0,,0.08099446765269282,287.4231262207031
1208320,20.40805541276932,V3,54,1.0,0,,0.08225911473816758,287.0199890136719
1212416,20.47564236323039,V3,56,1.0,0,,0.08376662832348196,287.1002502441406
1216512,20.545323836803437,V3,60,1.0,0,,0.07845421552852948,286.9366455078125
1220608,20.612660539150237,V3,62,1.0,0,,0.07681256812767621,287.0018615722656
1224704,20.678712034225462,V3,64,1.0,0,,0.08032338298114318,286.4849853515625
1228800,20.746964808305105,V3,68,1.0,0,,0.08042574654905081,286.4842224121094
1232896,20.815498292446136,V3,70,1.0,0,,0.0784470270562207,286.6961975097656
1236992,20.883583414554597,V3,72,1.0,0,,0.07858194622886913,286.91070556640625
1241088,20.95086888074875,V3,74,1.0,0,,0.07912923885013015,286.9462890625
1245184,21.020089828968047,V3,78,1.0,0,,0.07408899107733248,286.7662353515625
1249280,21.08750448624293,V3,80,1.0,0,,0.0738583452229075,286.5687255859375
1253376,21.15355705022812,V3,82,1.0,0,,0.07423076919026243,286.8748779296875
1257472,21.222051544984183,V3,86,1.0,0,,0.07134456695160508,287.1102294921875
1261568,21.287070365746818,V3,88,1.0,0,,0.06924329830815168,287.58612060546875
1265664,21.353888912995657,V3,90,1.0,0,,0.07012063343051039,287.7481994628906
1269760,21.41990869442622,V3,92,1.0,0,,0.06858117375526718,287.51007080078125
1273856,21.490170947710673,V3,96,1.0,0,,0.06355862846480143,286.86456298828125
1277952,21.554544587930042,V3,98,1.0,0,,0.06250868868849672,286.8971252441406
1282048,21.622552462418874,A1,0,0.0,0,,nan,286.87506103515625
1286144,21.690758172671,A1,4,1.0,0,,0.06338935717942107,288.24127197265625
1290240,21.75488675435384,A1,6,1.0,0,,0.05031342087919436,288.11761474609375
1294336,21.8208368062973,A1,8,1.0,0,,0.05480886720050293,288.52386474609375
1298432,21.88659954071045,A1,10,1.0,0,,0.05768390444910807,288.8536071777344
1302528,21.960124842325847,A1,14,1.0,0,,0.06369788958839097,289.38385009765625
1306624,22.028407986958822,A1,16,1.0,0,,0.0591566685506173,289.5054016113281
1310720,22.09702409505844,A1,18,1.0,0,,0.062476445603823864,290.36468505859375
1314816,22.163866810003917,A1,20,1.0,0,,0.06064398020880972,290.44512939453125
1318912,22.235334503650666,A1,24,1.0,0,,0.05515629612204087,290.9009704589844
1323008,22.30388929049174,A1,26,1.0,0,,0.05466346925415221,290.931396484375
1327104,22.370659299691518,A1,28,1.0,0,,0.05278516008289813,291.501708984375
1331200,22.444059630235035,A1,32,1.0,0,,0.050210895141298284,291.52081298828125
1335296,22.511399388313293,A1,34,1.0,0,,0.04920725352196677,291.8132629394531
1339392,22.583329347769418,A1,36,1.0,0,,0.05357051637773935,291.6790466308594
1343488,22.654621509710946,A1,38,1.0,0,,0.052755361949950064,291.6715393066406
1347584,22.728653426965078,A1,42,1.0,0,,0.05627861248739426,291.8824462890625
1351680,22.800709132353465,A1,44,1.0,0,,0.055504596963262175,292.5337829589844
